FIRE_SIZE_CLASS,DISCOVERY_MONTH_CONVERTED,D0,D1,D2,D3,D4,DAY_PRCP_1,DAY_PRCP_2,DAY_PRCP_3,DAY_PRCP_4,DAY_AVG_TEMP_1,DAY_AVG_TEMP_2,DAY_AVG_TEMP_3,DAY_AVG_TEMP_4,NAME_Ada,NAME_Adams,NAME_Bannock,NAME_Bear Lake,NAME_Benewah,NAME_Bingham,NAME_Blaine,NAME_Boise,NAME_Bonner,NAME_Bonneville,NAME_Boundary,NAME_Butte,NAME_Camas,NAME_Canyon,NAME_Caribou,NAME_Cassia,NAME_Clark,NAME_Clearwater,NAME_Custer,NAME_Elmore,NAME_Franklin,NAME_Fremont,NAME_Gem,NAME_Gooding,NAME_Idaho,NAME_Jefferson,NAME_Latah,NAME_Lemhi,NAME_Lewis,NAME_Lincoln,NAME_Madison,NAME_Minidoka,NAME_Nez Perce,NAME_Oneida,NAME_Owyhee,NAME_Payette,NAME_Power,NAME_Shoshone,NAME_Teton,NAME_Twin Falls,NAME_Valley,NAME_Washington,NAME_Jerome,NAME_Kootenai
D,8,100.0,100.0,47.78,0.0,0.0,0.0,0.0,0.0,0.0,77.0,78.25999999999998,74.84,76.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,47.78,0.0,0.0,0.0,0.0,0.0,0.0,74.84,76.82,73.75999999999998,70.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,47.78,0.0,0.0,0.0,0.0,0.0,0.0,78.25999999999998,74.84,76.82,73.75999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,59.68,0.0,0.0,0.0,0.3,0.0,0.0,78.44,69.25999999999999,69.08000000000001,71.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,47.78,0.0,0.0,0.0,0.0,0.0,0.0,77.0,78.25999999999998,74.84,76.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,47.78,0.0,0.0,0.0,0.0,0.0,0.0,78.25999999999998,74.84,76.82,73.75999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,23.36,0.0,0.0,0.0,1.0,0.0,0.0,73.94,74.30000000000003,70.52,69.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,47.57,0.0,0.0,1.0,0.0,0.0,0.0,74.30000000000003,70.52,69.44,71.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,47.57,0.0,0.0,0.0,0.0,0.0,0.0,71.6,75.02,77.0,78.25999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,59.68,0.0,0.0,0.0,0.0,0.0,0.0,71.42,77.72,84.56,83.30000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.25999999999998,79.34,78.25999999999998,78.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,12.76,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.18,83.48,85.46000000000002,84.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,29.43,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.0,84.2,83.48,75.02,73.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
D,8,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.46000000000002,79.16,81.5,83.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
D,8,55.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.9,69.62,69.08000000000001,68.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,80.78,74.84,73.4,66.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,69.5,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.46000000000002,79.16,81.5,83.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,72.73,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.1,76.46000000000002,77.9,84.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,73.18,0.04,0.0,0.0,0.0,0.0,0.0,2.5,0.0,77.9,84.2,83.48,75.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,29.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,77.53999999999998,81.5,86.36,80.24000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
D,8,16.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,69.80000000000001,71.96000000000002,72.14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,73.18,0.04,0.0,0.0,0.0,0.0,0.0,3.0,2.5,71.06,75.02,73.58000000000001,69.80000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,9,93.08,5.16,0.0,0.0,0.0,0.0,0.0,0.0,5.1,59.90000000000001,63.31999999999999,51.98,44.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,10,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.12000000000001,48.2,35.78,29.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.58000000000001,67.46000000000001,70.34,73.75999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9762626764068,72.29543715459882,72.58600682593917,72.35869338848896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
D,8,73.18,0.04,0.0,0.0,0.0,0.0,0.0,3.0,2.5,71.06,75.02,73.58000000000001,69.80000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,16.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,69.80000000000001,71.96000000000002,72.14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.88,77.53999999999998,81.5,86.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,100.0,43.23,0.0,0.0,0.0,0.0,0.0,80.42,85.28,76.82,74.48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,100.0,93.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.72,81.32,81.14,82.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,86.18,86.53999999999998,84.02,87.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
D,7,100.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.86,86.9,88.52,86.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,9,100.0,100.0,100.0,0.0,0.0,0.0,0.3,0.0,0.0,55.94,53.78,53.42,51.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,100.0,100.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,81.5,81.5,77.0,77.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,84.92,81.5,81.5,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,100.0,82.57,0.0,0.0,0.0,0.0,0.0,69.08000000000001,70.34,69.08000000000001,64.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,100.0,82.6,0.0,0.0,0.0,0.0,0.0,70.88,72.86,71.96000000000002,75.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,100.0,82.6,0.0,0.0,0.0,0.0,0.3,75.56,71.78,64.58000000000001,58.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,100.0,55.02,0.0,0.0,0.0,0.0,0.0,0.0,5.1,69.80000000000001,69.98,73.75999999999998,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,100.0,100.0,82.57,0.0,0.0,0.0,0.0,0.0,69.25999999999999,69.08000000000001,70.34,69.08000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,6,100.0,62.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.74000000000002,80.78,79.88,78.98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,100.0,58.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.46000000000001,69.08000000000001,74.84,73.03999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,35.31,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,79.88,72.86,73.4,67.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,26.46,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,71.9762626764068,67.28,71.42,77.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,33.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58000000000001,66.38,72.58600682593917,71.96000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,35.31,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,71.42,79.52,79.88,72.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,35.31,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,72.86,73.4,67.28,64.58000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,93.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.36,80.24000000000002,73.4,79.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,9,100.0,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,55.40000000000001,57.56,60.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
D,8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.9,77.0,75.92,74.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
D,8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.14,64.75999999999999,68.18,69.80000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.98,67.1,63.14,64.75999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.98,72.5,73.94,76.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.74000000000001,67.1,70.34,75.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,66.56,67.28,68.72,72.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,70.16,64.75999999999999,63.14,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,85.46000000000002,85.64,84.02,82.03999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
D,7,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.3,0.5,76.46000000000002,72.29543715459882,72.58600682593917,66.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.94,68.18,68.36,68.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.36,68.18,68.36,68.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.36,68.18,68.36,68.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,69.44,68.72,63.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
D,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9762626764068,72.29543715459882,72.58600682593917,72.35869338848896,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.42,80.06,82.4,85.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,100.0,42.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.94,73.03999999999998,77.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,66.39,3.24,0.0,0.0,0.0,0.0,1.3,0.0,71.96000000000002,78.98,72.58600682593917,75.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,6,58.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.98,60.98,64.03999999999999,64.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,39.02,0.0,0.0,0.0,0.0,3.0,0.3,0.0,75.02,75.92,66.92,64.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,39.02,0.0,0.0,0.0,0.3,0.0,0.0,0.0,66.92,64.94,68.0,64.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,100.0,39.02,0.0,0.0,0.0,0.3,0.0,0.0,0.0,66.92,64.94,68.0,64.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8,98.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.03999999999998,69.98,78.08000000000001,69.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,73.94,71.06,71.96000000000002,73.94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,100.0,100.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,71.96000000000002,73.94,75.02,75.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
D,10,100.0,100.0,78.51,0.0,0.0,0.0,0.0,0.0,0.0,44.06,46.94,48.02,51.98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
